Country Name,1965,1975,1985,1995,2005,2015,,,,,,,,,,,,,,,,,11/5/17
Germany,0.853190437,-0.372846359,-0.223489902,0.293904444,-0.056778262,0.865702644,,,,,,,,,,,,,,,,,
Djibouti,6.634769478,8.857016619,4.713545203,1.280715871,1.609037511,1.658026934,,,,,,,,,,,,,,,,,
Dominica,1.724555007,0.398885874,-0.771024272,-0.007005696,0.351758444,0.526244876,,,,,,,,,,,,,,,,,
Denmark,0.779239735,0.288268796,0.040526889,0.520962181,0.275481733,0.70642385,,,,,,,,,,,,,,,,,
Dominican Republic,3.168879028,2.565914512,2.138390267,1.781661301,1.467462122,1.170822649,,,,,,,,,,,,,,,,,
Algeria,2.656201066,2.803818989,3.023422634,1.89311624,1.383398439,1.919959024,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),2.471565916,1.963139231,1.604354719,1.261032768,0.81559012,0.718662932,,,,,,,,,,,,,,,,,
Early-demographic dividend,2.448826184,2.470602366,2.507462675,1.999212643,1.63538984,1.409086082,,,,,,,,,,,,,,,,,
East Asia & Pacific,2.354481982,1.920085679,1.507874149,1.202952724,0.756092935,0.675463,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),1.442928105,1.0639031,1.031482892,0.122616169,0.101870727,0.597508016,,,,,,,,,,,,,,,,,
Europe & Central Asia,1.102200683,0.73929949,0.59825555,0.190682115,0.302387355,0.479481073,,,,,,,,,,,,,,,,,
Ecuador,2.911452245,2.744848523,2.487328653,2.156759232,1.656026053,1.505644485,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",2.641337298,2.233825519,2.697207862,1.931190253,1.835290156,2.118294825,,,,,,,,,,,,,,,,,
Euro area,0.898571522,0.527775998,0.192016075,0.257507756,0.518156738,0.321946973,,,,,,,,,,,,,,,,,
Eritrea,2.613296177,2.746870323,2.906252329,0.152730079,2.820555339,,,,,,,,,,,,,,,,,,
Spain,1.085844742,1.081293603,0.362365565,0.44136575,1.689349047,-0.071420443,,,,,,,,,,,,,,,,,
Estonia,1.359458372,0.785459176,0.667063356,-1.785399536,-0.572255525,0.06555253,,,,,,,,,,,,,,,,,
Ethiopia,2.495955874,2.220300241,3.191395489,3.333181167,2.778715056,2.541468619,,,,,,,,,,,,,,,,,
European Union,0.829273097,0.528114323,0.241992148,0.208685192,0.395106027,0.304249917,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,2.489178152,2.819393921,2.336755637,2.740980372,2.575460726,2.372177848,,,,,,,,,,,,,,,,,
Finland,0.333374795,0.443863076,0.417068904,0.381655333,0.342248594,0.329383886,,,,,,,,,,,,,,,,,
Fiji,2.938528216,1.962789252,1.599861889,1.275805426,0.422273671,0.713519398,,,,,,,,,,,,,,,,,
France,1.154838723,0.684624738,0.57372307,0.361248204,0.753805556,0.439410655,,,,,,,,,,,,,,,,,
Faroe Islands,1.216035924,1.09760457,0.994550345,-0.45508801,0.294520477,0.251515873,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",3.417089168,1.063534941,2.896145017,1.403495673,-0.358128529,0.401059795,,,,,,,,,,,,,,,,,
Gabon,1.651462318,2.024303972,2.686332917,2.562057333,2.813076326,2.862181858,,,,,,,,,,,,,,,,,
United Kingdom,0.642468779,-0.007423363,0.226951225,0.264547417,0.686611306,0.794967909,,,,,,,,,,,,,,,,,
Georgia,1.316771037,0.73801073,0.876678995,-2.659709075,-1.304108583,-0.265982613,,,,,,,,,,,,,,,,,
Ghana,2.591607196,2.337364121,3.237296742,2.600839647,2.612384647,2.274380311,,,,,,,,,,,,,,,,,
Gibraltar,2.279931749,0.511822149,-0.389876923,0.83941734,0.590802112,0.556647498,,,,,,,,,,,,,,,,,
Guinea,1.720500235,0.43556605,2.82476414,4.241598005,1.977281497,2.393916866,,,,,,,,,,,,,,,,,
"Gambia, The",1.586125526,3.031261268,4.325541739,2.795548021,3.210587365,3.067312186,,,,,,,,,,,,,,,,,
Guinea-Bissau,1.326798858,1.231100939,2.548688887,2.095548105,2.233044589,2.561841573,,,,,,,,,,,,,,,,,
Equatorial Guinea,2.164234071,-3.658568974,5.973235194,3.5751395,4.386271484,3.989138838,,,,,,,,,,,,,,,,,
Greece,0.467787696,0.938660354,0.388288979,0.467197289,0.293249074,-0.658861361,,,,,,,,,,,,,,,,,
Grenada,0.545994667,-0.758624328,1.479267691,0.851452605,0.285012717,0.434369277,,,,,,,,,,,,,,,,,
Greenland,4.16726964,0.201816416,0.94429408,0.539084863,0.04216222,-0.322038549,,,,,,,,,,,,,,,,,
Guatemala,2.899625828,2.598403923,2.421828378,2.295367826,2.310407043,2.044266382,,,,,,,,,,,,,,,,,
Guam,2.406104674,2.138348885,2.265282326,1.913618733,0.191468648,0.514308801,,,,,,,,,,,,,,,,,
Guyana,2.174678032,1.077595472,-0.619027968,0.388120514,-0.093970583,0.668580935,,,,,,,,,,,,,,,,,
High income,1.182654209,0.972734359,0.674345093,0.866376189,0.700656241,0.592134119,,,,,,,,,,,,,,,,,
"Hong Kong SAR, China",2.627395063,1.8961131,1.074258772,1.980132777,0.436871406,0.879887992,,,,,,,,,,,,,,,,,
Honduras,2.852083318,3.026606005,2.994554296,2.778202129,2.322533292,1.706429882,,,,,,,,,,,,,,,,,
